STATE_NAME,STATECODE,STATE_FIPS,COUNTY,FORMAL_COUNTY,CNTY_FIPS,total_bldg_area,LandAreaSqMiles,bldg_area_per_sq_mile
Alabama,AL,01,Autauga,Autauga County,001,6993000,594.44,11764.013188883655
Alabama,AL,01,Baldwin,Baldwin County,003,60335200,1589.78,37951.9178754293
Alabama,AL,01,Barbour,Barbour County,005,6098300,884.88,6891.668926860139
Alabama,AL,01,Bibb,Bibb County,007,1386100,622.58,2226.3805454720678
Alabama,AL,01,Blount,Blount County,009,2821200,644.78,4375.445888520116
Alabama,AL,01,Bullock,Bullock County,011,553000,622.81,887.9112409884235
Alabama,AL,01,Butler,Butler County,013,2858700,776.83,3679.9557174671418
Alabama,AL,01,Calhoun,Calhoun County,015,23999100,605.87,39610.97265089871
Alabama,AL,01,Chambers,Chambers County,017,6910000,596.53,11583.658826882136
Alabama,AL,01,Cherokee,Cherokee County,019,1849000,553.7,3339.3534404912407
Alabama,AL,01,Chilton,Chilton County,021,4498200,692.85,6492.314353756224
Alabama,AL,01,Choctaw,Choctaw County,023,724700,913.5,793.3223864258347
Alabama,AL,01,Clarke,Clarke County,025,3170300,1238.47,2559.8520755448253
Alabama,AL,01,Clay,Clay County,027,822400,603.96,1361.6795814292336
Alabama,AL,01,Cleburne,Cleburne County,029,1233800,560.1,2202.8209248348508
Alabama,AL,01,Coffee,Coffee County,031,6324600,678.97,9314.991825853867
Alabama,AL,01,Colbert,Colbert County,033,19744700,592.62,33317.6403091357
Alabama,AL,01,Conecuh,Conecuh County,035,1498200,850.16,1762.2565164204386
Alabama,AL,01,Coosa,Coosa County,037,640600,650.93,984.1303980458729
Alabama,AL,01,Covington,Covington County,039,3041800,1030.46,2951.885565669701
Alabama,AL,01,Crenshaw,Crenshaw County,041,584900,608.84,960.679324617305
Alabama,AL,01,Cullman,Cullman County,043,11197000,734.84,15237.330575363343
Alabama,AL,01,Dale,Dale County,045,7106600,561.15,12664.349995544864
Alabama,AL,01,Dallas,Dallas County,047,8109500,978.7,8285.991621538775
Alabama,AL,01,DeKalb,DeKalb County,049,8460700,777.09,10887.670668777104
Alabama,AL,01,Elmore,Elmore County,051,9698000,618.49,15680.12417339003
Alabama,AL,01,Escambia,Escambia County,053,5855600,945.08,6195.87759766369
Alabama,AL,01,Etowah,Etowah County,055,16678600,534.99,31175.53599132694
Alabama,AL,01,Fayette,Fayette County,057,1359000,627.66,2165.1849727559506
Alabama,AL,01,Franklin,Franklin County,059,3587600,633.82,5660.282099018648
Alabama,AL,01,Geneva,Geneva County,061,1619400,574.41,2819.2406121063354
Alabama,AL,01,Greene,Greene County,063,365000,647.11,564.0462981564185
Alabama,AL,01,Hale,Hale County,065,581100,643.94,902.4132683169239
Alabama,AL,01,Henry,Henry County,067,1409000,561.75,2508.2331998219847
Alabama,AL,01,Houston,Houston County,069,25319700,579.82,43668.20737470249
Alabama,AL,01,Jackson,Jackson County,071,9525300,1077.87,8837.151047900026
Alabama,AL,01,Jefferson,Jefferson County,073,306737700,1111.28,276021.9746598517
Alabama,AL,01,Lamar,Lamar County,075,1452900,604.85,2402.083161114326
Alabama,AL,01,Lauderdale,Lauderdale County,077,17405900,667.7,26068.443911936498
Alabama,AL,01,Lawrence,Lawrence County,079,3017200,690.68,4368.4484855504725
Alabama,AL,01,Lee,Lee County,081,35985100,607.54,59230.83253777529
Alabama,AL,01,Limestone,Limestone County,083,20145400,559.94,35977.78333392863
Alabama,AL,01,Lowndes,Lowndes County,085,562000,715.91,785.0148761715858
Alabama,AL,01,Macon,Macon County,087,2299700,608.89,3776.8726699403833
Alabama,AL,01,Madison,Madison County,089,125767700,801.59,156897.79064110082
Alabama,AL,01,Marengo,Marengo County,091,2256200,976.88,2309.5979035296045
Alabama,AL,01,Marion,Marion County,093,4008400,742.29,5400.045804200515
Alabama,AL,01,Marshall,Marshall County,095,12747800,565.84,22528.983458221403
Alabama,AL,01,Mobile,Mobile County,097,133948900,1229.44,108951.1484903696
Alabama,AL,01,Monroe,Monroe County,099,2852600,1025.68,2781.179315186023
Alabama,AL,01,Montgomery,Montgomery County,101,103586500,784.25,132083.519285942
Alabama,AL,01,Morgan,Morgan County,103,33084300,579.34,57106.88024303517
Alabama,AL,01,Perry,Perry County,105,523600,719.66,727.5657949587305
Alabama,AL,01,Pickens,Pickens County,107,579700,881.41,657.6961913298011
Alabama,AL,01,Pike,Pike County,109,6500500,672.09,9672.067729024386
Alabama,AL,01,Randolph,Randolph County,111,2278800,580.55,3925.243303763673
Alabama,AL,01,Russell,Russell County,113,13959700,641.14,21773.247652618775
Alabama,AL,01,St. Clair,St. Clair County,115,12359600,631.9,19559.42395948726
Alabama,AL,01,Shelby,Shelby County,117,53304100,784.93,67909.36771431848
Alabama,AL,01,Sumter,Sumter County,119,1033800,903.89,1143.7232406598148
Alabama,AL,01,Talladega,Talladega County,121,20007500,736.78,27155.32452020956
Alabama,AL,01,Tallapoosa,Tallapoosa County,123,4620200,716.52,6448.110310947357
Alabama,AL,01,Tuscaloosa,Tuscaloosa County,125,61538800,1321.76,46558.22539644111
Alabama,AL,01,Walker,Walker County,127,7936800,791.19,10031.471580783376
Alabama,AL,01,Washington,Washington County,129,2480400,1080.21,2296.220179409559
Alabama,AL,01,Wilcox,Wilcox County,131,2110800,888.5,2375.6893640967924
Alabama,AL,01,Winston,Winston County,133,2175600,612.98,3549.2185715684036
Alaska,AK,02,Aleutians East,Aleutians East Borough,013,32100,6981.94,4.597576031876527
Alaska,AK,02,Aleutians West,Aleutians West Census Area,016,167000,4390.28,38.03857612726296
Alaska,AK,02,Anchorage,Anchorage Municipality,020,77585400,1704.68,45513.17549334772
Alaska,AK,02,Bethel,Bethel Census Area,050,142300,40570,3.5075178703475474
Alaska,AK,02,Bristol Bay,Bristol Bay Borough,060,71500,503.84,141.91013020006352
Alaska,AK,02,Denali,Denali Borough,068,210500,12751.41,16.507978333376467
Alaska,AK,02,Dillingham,Dillingham Census Area,070,64500,18568.78,3.4735723079276077
