statecode,countyname,bldg_count_Flex,bldg_count_Healthcare,bldg_count_Hospitality,bldg_count_Industrial,bldg_count_Multifamily,bldg_count_Office,bldg_count_Retail,bldg_count_Specialty,bldg_count_Entertainment,area_sum_Flex,area_sum_Healthcare,area_sum_Hospitality,area_sum_Industrial,area_sum_Multifamily,area_sum_Office,area_sum_Retail,area_sum_Specialty,area_sum_Entertainment
AK,Aleutians East Borough,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10400.0,0.0,5000.0,0.0,0.0,16700.0,0.0
AK,Aleutians West Census Area,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15200.0,92300.0,59500.0,0.0,0.0
AK,Anchorage Municipality,143.0,11.0,89.0,684.0,764.0,649.0,960.0,133.0,10.0,2812900.0,2115500.0,4868500.0,13847400.0,16352100.0,14545500.0,17653800.0,4941400.0,448300.0
AK,Bethel Census Area,0.0,0.0,2.0,0.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,28500.0,0.0,45900.0,31600.0,25100.0,11200.0,0.0
AK,Bristol Bay Borough,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,28100.0,3900.0,0.0,11400.0,20300.0,7800.0,0.0
AK,Denali Borough,0.0,0.0,10.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,148400.0,0.0,0.0,10500.0,11400.0,40200.0,0.0
AK,Dillingham Census Area,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,5000.0,21900.0,6000.0,4900.0,15700.0,11000.0,0.0
AK,Fairbanks North Star Borough,11.0,4.0,22.0,117.0,77.0,91.0,180.0,17.0,2.0,77900.0,428200.0,594200.0,1294000.0,4536000.0,1158200.0,3597000.0,275100.0,48400.0
AK,Haines Borough,0.0,1.0,4.0,0.0,0.0,0.0,7.0,2.0,3.0,0.0,9100.0,57000.0,0.0,0.0,0.0,71900.0,4900.0,9300.0
AK,Hoonah-Angoon Census Area,0.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,55400.0,0.0,0.0,3000.0,10000.0,22700.0,0.0
AK,Juneau City and Borough,0.0,0.0,11.0,5.0,64.0,31.0,53.0,2.0,0.0,0.0,0.0,411000.0,110800.0,1344700.0,903700.0,1480200.0,54500.0,0.0
AK,Kenai Peninsula Borough,6.0,4.0,54.0,77.0,72.0,67.0,221.0,45.0,3.0,32300.0,18900.0,422000.0,728600.0,1065800.0,439900.0,2562800.0,475500.0,18500.0
AK,Ketchikan Gateway Borough,0.0,0.0,6.0,8.0,7.0,14.0,48.0,4.0,0.0,0.0,0.0,304100.0,83000.0,190300.0,92200.0,533800.0,46700.0,0.0
AK,Kodiak Island Borough,1.0,1.0,2.0,2.0,5.0,5.0,19.0,2.0,0.0,7000.0,96200.0,36600.0,44700.0,174700.0,15000.0,425600.0,18700.0,0.0
AK,Kusilvak Census Area,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0
AK,Lake and Peninsula Borough,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23600.0,0.0,0.0,0.0,0.0,3300.0,0.0
AK,Matanuska-Susitna Borough,6.0,2.0,34.0,90.0,144.0,96.0,235.0,38.0,3.0,93300.0,3500.0,327400.0,805900.0,1519400.0,1022300.0,3326500.0,410800.0,25000.0
AK,Nome Census Area,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,51000.0,0.0,0.0,1900.0,27500.0,18700.0,6500.0,0.0
AK,North Slope Borough,0.0,0.0,1.0,6.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,35000.0,80100.0,10400.0,28400.0,25800.0,13000.0,0.0
AK,Northwest Arctic Borough,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5600.0,0.0,0.0,0.0,21100.0,0.0,0.0
AK,Petersburg Borough,0.0,0.0,2.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,17800.0,1200.0,0.0,0.0,80700.0,83400.0,0.0
AK,Prince of Wales-Hyder Census Area,0.0,0.0,2.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,25300.0,0.0,2000.0,0.0,41300.0,34100.0,0.0
AK,Sitka City and Borough,0.0,0.0,6.0,3.0,8.0,6.0,18.0,2.0,0.0,0.0,0.0,95300.0,109400.0,142500.0,47300.0,139400.0,5900.0,0.0
AK,Skagway Municipality,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,17100.0,27000.0,0.0
AK,Southeast Fairbanks Census Area,0.0,0.0,5.0,4.0,3.0,4.0,14.0,2.0,0.0,0.0,0.0,65300.0,40700.0,29000.0,31800.0,74200.0,12600.0,0.0
AK,Valdez-Cordova Census Area,0.0,0.0,12.0,7.0,4.0,2.0,23.0,5.0,0.0,0.0,0.0,98500.0,333400.0,101000.0,6200.0,110000.0,17200.0,0.0
AK,Wrangell City and Borough,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,12000.0,0.0,50500.0,0.0,33300.0,4800.0,0.0
AK,Yakutat City and Borough,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6100.0,6400.0,0.0,0.0,0.0,0.0,0.0
AK,Yukon-Koyukuk Census Area,0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,7000.0,2500.0,0.0,2400.0,12000.0,9300.0,0.0
AL,Autauga County,4.0,1.0,7.0,34.0,21.0,84.0,184.0,13.0,0.0,26900.0,9200.0,216300.0,2093700.0,1805400.0,453100.0,2223200.0,165200.0,0.0
AL,Baldwin County,64.0,17.0,65.0,374.0,199.0,808.0,1594.0,236.0,13.0,724700.0,1414900.0,5791400.0,9663000.0,16491000.0,4850500.0,16964900.0,4044600.0,390200.0
AL,Barbour County,0.0,0.0,4.0,17.0,20.0,22.0,108.0,10.0,2.0,0.0,0.0,64900.0,1786900.0,2974500.0,111500.0,1068400.0,86900.0,5200.0
AL,Bibb County,1.0,0.0,0.0,9.0,10.0,19.0,53.0,5.0,0.0,19800.0,0.0,0.0,284200.0,437300.0,97100.0,526100.0,21600.0,0.0
AL,Blount County,3.0,1.0,0.0,40.0,17.0,35.0,153.0,14.0,3.0,31500.0,5400.0,0.0,794500.0,456800.0,152900.0,1221300.0,84300.0,74500.0
AL,Bullock County,0.0,0.0,0.0,5.0,4.0,10.0,22.0,3.0,0.0,0.0,0.0,0.0,229600.0,130300.0,47300.0,139500.0,6300.0,0.0
AL,Butler County,1.0,1.0,5.0,20.0,18.0,23.0,110.0,10.0,0.0,23000.0,85500.0,103800.0,894000.0,598200.0,89700.0,1018000.0,46500.0,0.0
AL,Calhoun County,28.0,8.0,11.0,164.0,88.0,260.0,706.0,42.0,6.0,286300.0,241900.0,439000.0,6610000.0,4685100.0,2005600.0,8181100.0,1515000.0,35100.0
AL,Chambers County,2.0,1.0,2.0,30.0,14.0,39.0,110.0,12.0,0.0,37300.0,32000.0,68300.0,3436100.0,1317700.0,603700.0,1251200.0,163700.0,0.0
AL,Cherokee County,1.0,2.0,3.0,7.0,12.0,14.0,84.0,13.0,0.0,5000.0,50000.0,54000.0,138700.0,394000.0,77500.0,1036500.0,93300.0,0.0
AL,Chilton County,8.0,5.0,3.0,42.0,16.0,74.0,250.0,18.0,2.0,100300.0,264300.0,90800.0,875300.0,844200.0,288300.0,1909100.0,122500.0,3400.0
AL,Choctaw County,0.0,1.0,0.0,2.0,5.0,4.0,31.0,4.0,0.0,0.0,75000.0,0.0,203000.0,185000.0,18500.0,235600.0,7600.0,0.0
AL,Clarke County,0.0,1.0,4.0,14.0,19.0,23.0,112.0,9.0,0.0,0.0,5000.0,55700.0,707400.0,740000.0,125000.0,1501400.0,35800.0,0.0
AL,Clay County,1.0,1.0,0.0,9.0,4.0,5.0,22.0,5.0,0.0,23000.0,6300.0,0.0,496700.0,145600.0,11400.0,112100.0,27300.0,0.0
AL,Cleburne County,1.0,0.0,0.0,12.0,6.0,9.0,40.0,8.0,0.0,5000.0,0.0,0.0,791900.0,129100.0,42900.0,230500.0,34400.0,0.0
AL,Coffee County,3.0,3.0,7.0,27.0,30.0,54.0,193.0,14.0,0.0,40900.0,135300.0,241600.0,1330900.0,1680800.0,240900.0,2549800.0,104400.0,0.0
AL,Colbert County,10.0,4.0,4.0,305.0,27.0,78.0,323.0,48.0,0.0,63900.0,242200.0,317700.0,14225100.0,1424800.0,498400.0,2720700.0,251900.0,0.0
AL,Conecuh County,0.0,0.0,1.0,12.0,8.0,8.0,43.0,0.0,0.0,0.0,0.0,20400.0,912000.0,266300.0,35800.0,263700.0,0.0,0.0
AL,Coosa County,3.0,0.0,0.0,5.0,5.0,6.0,18.0,3.0,0.0,47500.0,0.0,0.0,375600.0,102200.0,21800.0,76100.0,17400.0,0.0
AL,Covington County,0.0,1.0,6.0,12.0,13.0,39.0,136.0,10.0,0.0,0.0,134000.0,103000.0,250000.0,474600.0,205300.0,1813800.0,61100.0,0.0
AL,Crenshaw County,0.0,0.0,0.0,7.0,6.0,10.0,41.0,9.0,0.0,0.0,0.0,0.0,119000.0,193300.0,21400.0,217000.0,34200.0,0.0
AL,Cullman County,9.0,6.0,10.0,96.0,34.0,97.0,337.0,21.0,0.0,55100.0,149400.0,287900.0,4893200.0,1286100.0,770600.0,3616400.0,138300.0,0.0
AL,Dale County,5.0,2.0,4.0,57.0,26.0,37.0,163.0,20.0,1.0,49700.0,40200.0,117400.0,1860800.0,2490000.0,289300.0,1842800.0,416300.0,100.0
AL,Dallas County,4.0,5.0,6.0,47.0,21.0,39.0,160.0,14.0,4.0,23200.0,568800.0,179900.0,3313000.0,1149300.0,288000.0,2158200.0,398400.0,30700.0
AL,DeKalb County,6.0,1.0,4.0,69.0,21.0,36.0,160.0,17.0,0.0,73700.0,287600.0,67900.0,5174300.0,828200.0,160200.0,1723200.0,145600.0,0.0
AL,Elmore County,16.0,3.0,10.0,49.0,25.0,82.0,317.0,31.0,3.0,355300.0,25000.0,571400.0,1438900.0,2273500.0,377600.0,4293500.0,327200.0,35600.0
AL,Escambia County,5.0,4.0,6.0,28.0,31.0,39.0,178.0,17.0,1.0,116000.0,47600.0,137400.0,1975000.0,1006100.0,249300.0,1904800.0,372400.0,47000.0
AL,Etowah County,31.0,9.0,14.0,127.0,45.0,244.0,552.0,32.0,3.0,251300.0,1144600.0,580200.0,4461600.0,2530700.0,1204200.0,6086600.0,346200.0,73200.0
AL,Fayette County,0.0,0.0,0.0,3.0,8.0,5.0,41.0,5.0,0.0,0.0,0.0,0.0,358500.0,396700.0,38300.0,472000.0,93500.0,0.0
AL,Franklin County,4.0,3.0,3.0,15.0,13.0,17.0,93.0,13.0,0.0,40300.0,97200.0,52300.0,1473300.0,691100.0,106400.0,1042500.0,84500.0,0.0
AL,Geneva County,1.0,0.0,0.0,9.0,10.0,12.0,78.0,11.0,0.0,16500.0,0.0,0.0,734000.0,144600.0,71700.0,595400.0,57200.0,0.0
AL,Greene County,0.0,1.0,3.0,1.0,4.0,3.0,17.0,3.0,1.0,0.0,4800.0,64600.0,7500.0,158500.0,3000.0,84500.0,12100.0,30000.0
AL,Hale County,2.0,0.0,1.0,6.0,5.0,1.0,25.0,6.0,0.0,8400.0,0.0,11000.0,155900.0,181000.0,2700.0,176100.0,46000.0,0.0
AL,Henry County,1.0,0.0,0.0,13.0,4.0,14.0,53.0,6.0,0.0,4100.0,0.0,0.0,903300.0,93300.0,50700.0,343700.0,13900.0,0.0
